,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AHTGS,AATGS,AHTGC,AATGC,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeTeamLP,AwayTeamLP,MW,DiffLP,HTGD,ATGD,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,DiffFormPts
5445,Swansea,Crystal Palace,1,1,D,16,17,13,21,1.3846153846153846,0.9230769230769231,L,W,D,W,L,L,12.0,11.0,13.0,1.0,0.23076923076923078,-0.3076923076923077,LWD,WLL,4,3,0.07692307692307693
5446,West Brom,Arsenal,0,1,A,13,20,17,15,1.0,1.3076923076923077,L,L,W,L,L,W,17.0,4.0,13.0,13.0,-0.3076923076923077,0.38461538461538464,LLW,LLW,3,3,0.0
5447,West Ham,Newcastle,1,0,H,20,14,16,15,1.3846153846153846,1.4615384615384615,L,D,D,W,W,W,13.0,10.0,13.0,3.0,0.3076923076923077,-0.07692307692307693,LDD,WWW,2,9,-0.5384615384615384
5448,Southampton,Man City,0,3,A,24,24,6,13,2.0,1.8461538461538463,D,W,W,W,D,W,8.0,1.0,13.0,7.0,1.3846153846153846,0.8461538461538461,DWW,WDW,7,7,0.0
5449,Tottenham,Everton,2,1,H,16,22,17,19,1.3076923076923077,1.3076923076923077,W,L,W,W,D,D,6.0,5.0,13.0,1.0,-0.07692307692307693,0.23076923076923078,WLW,WDD,6,5,0.07692307692307693
5450,Burnley,Newcastle,1,1,D,9,14,21,16,0.7857142857142857,1.3571428571428572,D,W,W,L,W,W,18.0,10.0,14.0,8.0,-0.8571428571428571,-0.14285714285714285,DWW,LWW,7,6,0.07142857142857142
5451,Crystal Palace,Aston Villa,0,1,A,18,7,22,18,0.9285714285714286,0.9285714285714286,D,W,L,D,D,D,11.0,15.0,14.0,-4.0,-0.2857142857142857,-0.7857142857142857,DWL,DDD,4,3,0.07142857142857142
5452,Leicester,Liverpool,1,3,A,13,16,21,18,0.7142857142857143,1.2142857142857142,L,D,L,W,L,L,18.0,2.0,14.0,16.0,-0.5714285714285714,-0.14285714285714285,LDL,WLL,1,3,-0.14285714285714285
5453,Man United,Stoke,2,1,H,22,13,15,16,1.5714285714285714,1.0714285714285714,W,W,W,L,L,W,7.0,9.0,14.0,-2.0,0.5,-0.21428571428571427,WWW,LLW,9,3,0.42857142857142855
5454,Swansea,QPR,2,0,H,17,14,14,25,1.3571428571428572,0.7857142857142857,D,L,W,W,L,D,12.0,18.0,14.0,-6.0,0.21428571428571427,-0.7857142857142857,DLW,WLD,4,4,0.0
5455,West Brom,West Ham,1,2,A,13,21,18,16,0.9285714285714286,1.5,L,L,L,W,L,D,17.0,13.0,14.0,4.0,-0.35714285714285715,0.35714285714285715,LLL,WLD,0,4,-0.2857142857142857
5456,Arsenal,Southampton,1,0,H,21,24,15,9,1.4285714285714286,1.8571428571428572,W,L,L,L,D,W,4.0,8.0,14.0,-4.0,0.42857142857142855,1.0714285714285714,WLL,LDW,3,4,-0.07142857142857142
5457,Chelsea,Tottenham,3,0,H,30,18,11,18,2.357142857142857,1.4285714285714286,D,W,W,W,W,L,3.0,6.0,14.0,-3.0,1.3571428571428572,0.0,DWW,WWL,7,6,0.07142857142857142
5458,Everton,Hull,1,1,D,23,14,21,20,1.2142857142857142,0.7857142857142857,L,W,D,L,L,L,5.0,16.0,14.0,-11.0,0.14285714285714285,-0.42857142857142855,LWD,LLL,4,0,0.2857142857142857
5459,Sunderland,Man City,1,4,A,12,27,19,13,1.0,1.9285714285714286,D,D,D,W,W,D,14.0,1.0,14.0,13.0,-0.5,1.0,DDD,WWD,3,7,-0.2857142857142857
5460,Hull,West Brom,0,0,D,15,14,21,20,0.8,0.8666666666666667,D,L,L,L,L,L,16.0,17.0,15.0,-1.0,-0.4,-0.4,DLL,LLL,1,0,0.06666666666666667
5461,Liverpool,Sunderland,0,0,D,19,13,19,23,1.3333333333333333,0.9333333333333333,W,W,L,L,D,D,2.0,14.0,15.0,-12.0,0.0,-0.6666666666666666,WWL,LDD,6,2,0.26666666666666666
5462,Man City,Everton,1,0,H,31,24,14,22,2.0,1.2,W,W,W,D,L,W,1.0,5.0,15.0,-4.0,1.1333333333333333,0.13333333333333333,WWW,DLW,9,4,0.3333333333333333
5463,Newcastle,Chelsea,2,1,H,15,33,17,11,1.3333333333333333,2.4,D,L,W,W,D,W,10.0,3.0,15.0,7.0,-0.13333333333333333,1.4666666666666666,DLW,WDW,4,7,-0.2
5464,QPR,Burnley,2,0,H,14,10,27,22,0.7333333333333333,0.8,L,W,L,D,D,W,18.0,18.0,15.0,0.0,-0.8666666666666667,-0.8,LWL,DDW,3,5,-0.13333333333333333
5465,Stoke,Arsenal,3,2,H,14,22,18,15,1.0,1.5333333333333334,L,L,L,W,W,L,9.0,4.0,15.0,5.0,-0.26666666666666666,0.4666666666666667,LLL,WWL,0,6,-0.4
5466,Tottenham,Crystal Palace,0,0,D,18,18,21,23,1.3333333333333333,0.8666666666666667,L,W,W,L,D,W,6.0,11.0,15.0,-5.0,-0.2,-0.3333333333333333,LWW,LDW,6,4,0.13333333333333333
5467,Aston Villa,Leicester,2,1,H,8,14,18,24,1.0666666666666667,0.6666666666666666,W,D,D,L,L,D,15.0,18.0,15.0,-3.0,-0.6666666666666666,-0.6666666666666666,WDD,LLD,5,1,0.26666666666666666
5468,West Ham,Swansea,3,1,H,23,19,17,14,1.6,1.4666666666666666,W,W,L,W,D,L,13.0,12.0,15.0,1.0,0.4,0.3333333333333333,WWL,WDL,6,4,0.13333333333333333
5469,Southampton,Man United,1,2,A,24,24,10,16,1.7333333333333334,1.6666666666666667,L,L,D,W,W,W,8.0,7.0,15.0,1.0,0.9333333333333333,0.5333333333333333,LLD,WWW,1,9,-0.5333333333333333
5470,Arsenal,Newcastle,4,1,H,24,17,18,18,1.4375,1.4375,L,W,W,W,D,L,4.0,10.0,16.0,-6.0,0.375,-0.0625,LWW,WDL,6,4,0.125
